6743272,G,A,17,20190304
3374767,D,A,8,20190304
*,S,A,7,20190304
7248979,C,A,21,20190304
2176954,X,A,20,20190304
8651629,G,A,9,20190304
7203940,C,A,13,20190304
6925744,G,S,7,20190304
9982037,X,A,16,20190304
7800339,S,A,23,20190304
8264301,X,C,14,20190304
4678090,X,A,17,20190304
7293602,C,S,18,20190304
8675042,C,A,16,20190304
*,S,A,15,20190304
3160747,C,C,17,20190304
*,S,C,10,20190304
9068571,C,A,13,20190304
*,S,A,19,20190304
1734936,S,S,18,20190304
9857585,C,A,7,20190304
9569414,S,A,11,20190304
*,S,A,6,20190304
*,S,A,18,20190304
4920932,X,A,8,20190304
*,S,A,8,20190304
*,S,S,17,20190304
*,S,A,7,20190304
5775845,D,A,8,20190304
*,S,S,20,20190304
7485229,G,S,8,20190304
2259415,G,A,17,20190304
5219802,G,A,9,20190304
1085215,C,A,13,20190304
*,S,A,22,20190304
6939276,C,A,20,20190304
9403350,X,A,17,20190304
8875397,X,C,14,20190304
4420279,G,A,7,20190304
6479462,X,A,12,20190304
7381939,X,A,23,20190304
*,S,A,15,20190304
4769534,C,C,17,20190304
7061537,D,A,18,20190304
5787771,D,A,16,20190304
7989984,C,A,7,20190304
7617568,S,S,18,20190304
8165370,G,C,10,20190304
7616205,S,S,20,20190304
*,S,A,19,20190304
*,S,A,18,20190304
4009224,X,A,8,20190304
4704846,S,A,11,20190304
*,S,A,6,20190304
1161488,G,A,20,20190304
9119295,D,A,8,20190304
*,S,A,8,20190304
*,S,A,12,20190304
*,S,A,7,20190304
5625226,G,A,9,20190304
3607775,C,A,13,20190304
9775598,G,A,8,20190304
6101362,G,A,17,20190304
5851583,G,A,7,20190304
7295136,X,C,14,20190304
4016896,X,A,22,20190304
2138367,D,A,15,20190304
9720923,C,C,17,20190304
*,S,A,15,20190304
7599030,C,C,17,20190304
2480462,X,A,12,20190304
*,S,A,24,20190304
8339242,G,C,10,20190304
7445573,S,S,18,20190304
*,S,S,19,20190304
*,S,A,13,20190304
5283624,D,A,7,20190304
*,S,A,18,20190304
4826535,X,A,8,20190304
*,S,A,20,20190304
2553830,G,A,19,20190304
*,S,A,8,20190304
8742357,D,A,8,20190304
2089712,S,A,11,20190304
8518296,C,A,21,20190304
3262010,X,A,20,20190304
2384784,G,A,9,20190304
3816481,C,A,13,20190304
*,S,A,12,20190304
*,S,A,7,20190304
4015217,S,A,23,20190304
9485716,X,C,14,20190304
1985981,G,A,8,20190304
*,S,A,10,20190304
1639147,G,A,7,20190304
*,S,A,15,20190304
9896598,C,C,17,20190304
*,S,A,16,20190304
1479213,C,C,17,20190304
*,S,A,19,20190304
3806957,S,S,18,20190304
7787392,C,A,12,20190304
*,S,A,16,20190304
4742502,X,A,10,20190304
*,S,A,18,20190304
6327743,X,A,8,20190304
*,S,A,13,20190304
*,S,A,8,20190304
*,S,A,11,20190304
9966873,D,A,8,20190304
*,S,S,20,20190304
9251081,X,A,13,20190304
*,S,C,8,20190304
1622814,G,A,9,20190304
7173337,C,A,13,20190304
*,S,A,22,20190304
9045735,C,A,20,20190304
9021345,G,A,8,20190304
9606865,X,C,14,20190304
*,S,A,12,20190304
3357372,S,A,17,20190304
6754628,X,A,23,20190304
*,S,A,15,20190304
4086193,C,C,17,20190304
9758159,D,A,18,20190304
6138564,X,A,7,20190304
5248144,C,A,12,20190304
6347079,S,S,18,20190304
*,S,A,16,20190304
6007098,S,S,20,20190304
*,S,A,19,20190304
*,S,A,18,20190304
6282907,X,A,8,20190304
7082229,G,A,16,20190304
6075394,X,A,10,20190304
5037169,G,A,20,20190304
8928861,D,A,8,20190304
*,S,A,13,20190304
7275863,C,A,16,20190304
9651693,G,A,11,20190304
2264192,G,A,9,20190304
5827536,C,A,13,20190304
8926671,X,A,13,20190304
*,S,C,8,20190304
*,S,A,12,20190304
4218160,X,C,14,20190304
9798832,X,A,22,20190304
*,S,A,3,20190304
5240399,X,A,8,20190304
*,S,A,15,20190304
5012538,C,C,17,20190304
2992092,S,A,17,20190304
*,S,A,24,20190304
*,S,A,16,20190304
6168810,S,S,18,20190304
*,S,S,19,20190304
*,S,A,17,20190304
7152323,D,A,12,20190304
*,S,A,18,20190304
2410711,X,A,8,20190304
*,S,A,20,20190304
8036714,G,A,19,20190304
4006865,S,A,13,20190304
9784559,D,A,8,20190304
7553411,G,A,16,20190304
2457629,C,A,21,20190304
2613269,X,A,20,20190304
9449771,G,A,9,20190304
1039239,C,A,13,20190304
8248337,C,A,16,20190304
3734900,X,A,11,20190304
8816828,S,A,23,20190304
6257571,X,C,14,20190304
4207489,C,A,13,20190304
2838845,C,A,15,20190304
*,S,A,12,20190304
*,S,A,15,20190304
2552780,C,C,17,20190304
*,S,A,4,20190304
9581034,X,A,8,20190304
*,S,A,19,20190304
4385057,S,S,18,20190304
*,S,A,17,20190304
8640749,D,A,6,20190304
*,S,A,16,20190304
*,S,A,18,20190304
4676068,X,A,8,20190304
*,S,A,17,20190304
*,S,A,13,20190304
2509928,G,A,16,20190304
8188115,D,A,8,20190304
*,S,S,20,20190304
6109389,X,A,17,20190304
2258806,S,A,13,20190304
1068732,G,A,9,20190304
5759049,C,A,13,20190304
*,S,A,22,20190304
8337403,C,A,20,20190304
1973405,C,A,13,20190304
3745021,X,C,14,20190304
7164463,C,A,16,20190304
6749538,C,A,7,20190304
1971173,X,A,23,20190304
*,S,A,15,20190304
4042147,C,C,17,20190304
2179070,D,A,18,20190304
*,S,A,12,20190304
*,S,A,17,20190304
1406026,S,S,18,20190304
*,S,A,5,20190304
9552791,S,S,20,20190304
*,S,A,19,20190304
